-7376,4068,2
-7376,4069,2
-7378,4076,2
-7407,4080,2
-7396,4087,2
-7405,4066,3
-7377,4068,3
-7373,4071,3
-7397,4088,3
-7383,4062,4
-7375,4063,4
-7418,4066,4
-7405,4067,4
-7410,4073,4
-7373,4074,4
-7409,4075,4
-7408,4077,4
-7380,4079,4
-7381,4080,4
-7410,4082,4
-7401,4059,5
-7375,4065,5
-7373,4073,5
-7378,4078,5
-7384,4082,5
-7405,4084,5
-7372,4073,6
-7400,4085,6
-7412,4063,7
-7372,4073,7
-7404,4083,7
-7399,4086,7
-7388,4089,7
-7400,4057,8
-7411,4063,8
-7389,4063,8
-7411,4064,8
-7389,4065,8
-7375,4075,8
-7423,4077,8
-7389,4089,8
-7382,4061,9
-7384,4064,9
-7412,4066,9
-7412,4074,9
-7377,4075,9
-7376,4075,9
-7414,4079,9
-7396,4087,9
-7380,4059,10
-7388,4089,10
-7382,4061,11
-7387,4064,11
-7414,4072,11
-7416,4074,11
-7400,4052,12
-7398,4056,12
-7409,4068,12
-7379,4077,12
-7380,4079,12
-7380,4083,12
-7418,4084,12
-7396,4087,12
-7400,4052,13
-7390,4060,13
-7385,4062,13
-7380,4078,13
-7379,4079,13
-7406,4083,13
-7408,4084,13
-7408,4085,13
-7410,4056,14
-7418,4071,14
-7378,4075,14
-7412,4074,15
-7408,4076,15
-7383,4079,15
-7407,4081,15
-7383,4081,15
-7399,4058,16
-7406,4065,16
-7376,4076,16
-7379,4081,16
-7383,4062,17
-7385,4063,17
-7376,4066,17
-7406,4069,17
-7377,4081,17
-7383,4085,17
-7413,4063,18
-7377,4075,18
-7387,4089,18
-7385,4066,19
-7379,4075,19
-7407,4079,19
-7373,4065,20
-7371,4072,20
-7413,4082,20
-7399,4085,20
-7407,4087,20
-7375,4062,21
-7376,4063,21
-7388,4065,21
-7409,4069,21
-7411,4071,21
-7373,4072,21
-7373,4073,21
-7375,4074,21
-7396,4056,22
-7383,4063,22
-7411,4070,22
-7373,4072,22
-7409,4083,22
-7384,4064,23
-7372,4064,23
-7374,4066,23
-7377,4069,23
-7410,4079,23
-7393,4055,24
-7393,4056,24
-7418,4071,24
-7373,4071,24
-7418,4072,24
-7423,4076,24
-7422,4076,24
-7378,4076,24
-7421,4077,24
-7378,4077,24
-7412,4081,24
-7372,4085,24
-7388,4062,25
-7373,4063,25
-7405,4065,25
-7373,4071,25
-7418,4072,25
-7405,4083,25
-7412,4085,25
-7377,4059,26
-7390,4063,26
-7406,4082,26
-7404,4085,26
-7371,4089,26
-7383,4062,27
-7372,4073,27
-7374,4074,27
-7380,4077,27
-7407,4079,27
-7387,4086,27
-7407,4063,28
-7406,4063,28
-7378,4072,28
-7383,4078,28
-7374,4085,28
-7372,4066,29
-7377,4069,29
-7373,4071,29
-7414,4078,29
-7414,4081,29
-7405,4082,29
-7402,4085,29
-7385,4085,29
-7396,4087,29
-7386,4064,30
-7389,4065,30
-7406,4067,30
-7376,4067,30
-7378,4076,30
-7403,4086,30
-7401,4086,30
